 ;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Cestnoprometne nesreèe;43004;31094;31569;30401;22783;20597;21347;22913;22035;18904;18251
Umrli v cestnoprometnih nesreèah;274;258;262;293;214;171;138;141;130;125;108
