"Osebni avtomobili in prve registracije novih osebnih avtomobilov po: MERITVE , LETO"

" ";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Število osebnih avtomobilov na dan 31. 12.";933941;960213;980261;1014122;1045183;1058858;1061646;1066495;1066028;1063795;1068362
"Število prvih registracij novih osebnih avtomobilov";62697;60531;59885;67791;71037;57391;60777;59813;49700;51968;54086

"Vir: Ministrstvo za infrastrukturo, SURS "

"Povezane vsebine: "
"- (seznam HREF=http://www.stat.si/doc/metod_pojasnila/22-221-MP.pdf "
"target=_blank) Metodološka pojasnila "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/podatki/koledar-objav"
"target=_blank) Koledar objav "
" "

